volts,time,
1909,12:37:53:521,
1654,12:37:53:524,
1952,12:37:53:528,
2047,12:37:53:533,
2139,12:37:53:538,
2207,12:37:53:543,
2059,12:37:53:548,
1792,12:37:53:553,
1904,12:37:53:558,
2095,12:37:53:563,
2256,12:37:53:568,
2170,12:37:53:573,
2346,12:37:53:579,
2471,12:37:53:583,
2559,12:37:53:588,
2559,12:37:53:594,
2471,12:37:53:599,
2629,12:37:53:604,
2460,12:37:53:609,
2559,12:37:53:614,
2523,12:37:53:619,
2538,12:37:53:624,
2509,12:37:53:629,
2398,12:37:53:634,
2523,12:37:53:639,
2469,12:37:53:645,
2531,12:37:53:650,
2550,12:37:53:654,
2391,12:37:53:659,
2490,12:37:53:664,
2415,12:37:53:669,
2495,12:37:53:676,
2431,12:37:53:678,
2413,12:37:53:683,
2403,12:37:53:688,
2389,12:37:53:693,
2467,12:37:53:698,
2437,12:37:53:703,
2338,12:37:53:708,
2383,12:37:53:713,
2386,12:37:53:718,
2527,12:37:53:723,
2347,12:37:53:728,
2251,12:37:53:733,
2143,12:37:53:739,
2186,12:37:53:743,
2144,12:37:53:748,
2206,12:37:53:753,
2062,12:37:53:758,
2131,12:37:53:763,
2176,12:37:53:771,
2115,12:37:53:773,
2151,12:37:53:779,
2061,12:37:53:783,
2063,12:37:53:789,
2191,12:37:53:794,
2157,12:37:53:799,
2263,12:37:53:803,
2111,12:37:53:808,
2224,12:37:53:813,
2239,12:37:53:818,
2182,12:37:53:823,
2279,12:37:53:828,
2096,12:37:53:833,
2267,12:37:53:839,
2311,12:37:53:843,
2415,12:37:53:849,
2446,12:37:53:853,
2253,12:37:53:859,
2225,12:37:53:863,
2067,12:37:53:869,
2000,12:37:53:873,
2115,12:37:53:878,
2077,12:37:53:883,
2130,12:37:53:888,
2151,12:37:53:894,
2042,12:37:53:898,
2077,12:37:53:903,
1964,12:37:53:908,
1859,12:37:53:913,
2071,12:37:53:918,
1957,12:37:53:925,
2307,12:37:53:928,
2281,12:37:53:933,
3199,12:37:53:938,
2495,12:37:53:943,
2386,12:37:53:948,
2359,12:37:53:953,
2351,12:37:53:958,
2359,12:37:53:963,
2450,12:37:53:968,
2323,12:37:53:974,
2384,12:37:53:978,
2446,12:37:53:983,
2506,12:37:53:988,
2386,12:37:53:993,
2438,12:37:53:998,
2535,12:37:54:003,
2256,12:37:54:009,
2395,12:37:54:013,
2330,12:37:54:020,
2407,12:37:54:024,
2416,12:37:54:029,
2459,12:37:54:034,
2455,12:37:54:039,
2430,12:37:54:044,
2354,12:37:54:050,
2382,12:37:54:054,
2263,12:37:54:059,
2141,12:37:54:064,
2085,12:37:54:069,
2006,12:37:54:074,
2123,12:37:54:082,
2085,12:37:54:084,
2177,12:37:54:088,
1947,12:37:54:093,
1841,12:37:54:099,
1927,12:37:54:103,
1939,12:37:54:111,
2014,12:37:54:113,
2061,12:37:54:118,
1939,12:37:54:123,
1927,12:37:54:128,
1973,12:37:54:133,
1903,12:37:54:138,
2288,12:37:54:144,
1882,12:37:54:148,
1983,12:37:54:153,
2069,12:37:54:158,
2485,12:37:54:163,
2345,12:37:54:168,
2286,12:37:54:174,
2286,12:37:54:178,
2097,12:37:54:183,
2243,12:37:54:188,
